File,Line,Column,Type,Message,Source,Severity
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/libs/migration_version.test.php",57,14,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/libs/migration_version.test.php",62,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/libs/migration_version.test.php",189,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/vendors/shells/migration.test.php",197,24,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/vendors/shells/migration.test.php",198,19,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/vendors/shells/migration.test.php",199,28,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/vendors/shells/migration.test.php",225,13,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/vendors/shells/migration.test.php",247,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/tests/cases/vendors/shells/migration.test.php",355,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/migrations/vendors/shells/migration.php",87,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/namespace_cache/libs/cache/namespace_file.php",84,30,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/octo_users/controllers/components/auth.php",342,17,warning,"The use of function split is discouraged in PHP version 5.3 and discouraged in PHP version 5.4 and discouraged in PHP version 5.5; use preg_split instead",PHPCompatibility.PHP.DeprecatedFunctions,5
"/media/r/common/frameworks/cake1.3/plugins/search/controllers/components/prg.php",104,16,warning,"The use of function split is discouraged in PHP version 5.3 and discouraged in PHP version 5.4 and discouraged in PHP version 5.5; use preg_split instead",PHPCompatibility.PHP.DeprecatedFunctions,5
"/media/r/common/frameworks/cake1.3/plugins/templates/vendors/subtemplate.php",72,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/templates/vendors/subtemplate.php",79,16,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/utils/controllers/components/utils.php",47,16,error,"Assigning the return value of new by reference is deprecated in PHP 5.3",PHPCompatibility.PHP.DeprecatedNewReference,5
"/media/r/common/frameworks/cake1.3/plugins/utils/views/helpers/cleaner.php",267,9,warning,"The use of function eregi is discouraged in PHP version 5.3 and discouraged in PHP version 5.4 and discouraged in PHP version 5.5; use preg_match instead",PHPCompatibility.PHP.DeprecatedFunctions,5
"/media/r/common/frameworks/cake1.3/plugins/webservice/views/webservice.php",377,7,warning,"INI directive 'zend.ze1_compatibility_mode' is deprecated in PHP 5.3 and  forbidden in PHP 5.4.",PHPCompatibility.PHP.DeprecatedIniDirectives,5
"/media/r/common/frameworks/cake1.3/plugins/webservice/views/webservice.php",377,52,warning,"INI directive 'zend.ze1_compatibility_mode' is deprecated in PHP 5.3 and  forbidden in PHP 5.4.",PHPCompatibility.PHP.DeprecatedIniDirectives,5
